Year,Variable,Measure,Country,Value
2017,Total hospital beds,Per 1 000 population,Germany,8
2018,Total hospital beds,Per 1 000 population,Germany,7.98
2019,Total hospital beds,Per 1 000 population,Germany,7.91
2000,Total hospital beds,Per 1 000 population,Switzerland,6.29
2001,Total hospital beds,Per 1 000 population,Switzerland,6.04
2002,Total hospital beds,Per 1 000 population,Switzerland,5.95
2003,Total hospital beds,Per 1 000 population,Switzerland,5.82
2004,Total hospital beds,Per 1 000 population,Switzerland,5.67
2005,Total hospital beds,Per 1 000 population,Switzerland,5.54
2006,Total hospital beds,Per 1 000 population,Switzerland,5.39
2007,Total hospital beds,Per 1 000 population,Switzerland,5.36
2008,Total hospital beds,Per 1 000 population,Switzerland,5.21
2009,Total hospital beds,Per 1 000 population,Switzerland,5.1
2010,Total hospital beds,Per 1 000 population,Switzerland,5.19
2011,Total hospital beds,Per 1 000 population,Switzerland,5.05
2012,Total hospital beds,Per 1 000 population,Switzerland,4.97
2013,Total hospital beds,Per 1 000 population,Switzerland,4.85
2014,Total hospital beds,Per 1 000 population,Switzerland,4.73
2015,Total hospital beds,Per 1 000 population,Switzerland,4.73
2016,Total hospital beds,Per 1 000 population,Switzerland,4.69
2017,Total hospital beds,Per 1 000 population,Switzerland,4.65
2018,Total hospital beds,Per 1 000 population,Switzerland,4.63
2019,Total hospital beds,Per 1 000 population,Switzerland,4.59
